Date,Visitor,G,Home,G,,Att.,LOG,Notes
2007-11-21,Montreal Canadiens,4,New York Islanders,1,,13153,,
2007-11-21,Los Angeles Kings,1,Phoenix Coyotes,4,,12161,,
2007-11-21,New Jersey Devils,2,Pittsburgh Penguins,1,,17132,,
2007-11-21,New York Rangers,2,Tampa Bay Lightning,1,,20110,,
2007-11-21,Atlanta Thrashers,5,Washington Capitals,1,,11669,,
2007-11-22,Chicago Blackhawks,2,Calgary Flames,1,,19289,,
2007-11-22,Colorado Avalanche,3,Edmonton Oilers,2,,16839,,
2007-11-22,Detroit Red Wings,2,Nashville Predators,3,,14346,,
2007-11-22,Pittsburgh Penguins,6,Ottawa Senators,5,SO,20061,,
2007-11-23,Phoenix Coyotes,4,Anaheim Ducks,3,SO,17174,,
2007-11-23,New Jersey Devils,3,Atlanta Thrashers,0,,18545,,
2007-11-23,New York Islanders,1,Boston Bruins,2,,17565,,
2007-11-23,Montreal Canadiens,2,Buffalo Sabres,4,,18690,,
2007-11-23,Tampa Bay Lightning,3,Carolina Hurricanes,4,,18033,,
2007-11-23,Toronto Maple Leafs,1,Dallas Stars,3,,18409,,
2007-11-23,New York Rangers,2,Florida Panthers,3,SO,19250,,
2007-11-23,Columbus Blue Jackets,4,Minnesota Wild,0,,18568,,
2007-11-23,Washington Capitals,4,Philadelphia Flyers,3,OT,19727,,
2007-11-23,Vancouver Canucks,1,St. Louis Blues,3,,18721,,
2007-11-24,Detroit Red Wings,2,Columbus Blue Jackets,3,SO,17513,,
2007-11-24,Calgary Flames,5,Colorado Avalanche,2,,18007,,
2007-11-24,Chicago Blackhawks,2,Edmonton Oilers,3,SO,16839,,
2007-11-24,Buffalo Sabres,3,Montreal Canadiens,0,,21273,,
2007-11-24,Minnesota Wild,4,Nashville Predators,3,,12639,,
2007-11-24,Boston Bruins,1,New York Islanders,2,,16234,,
2007-11-24,Philadelphia Flyers,4,Ottawa Senators,3,,20128,,
2007-11-24,Toronto Maple Leafs,1,Phoenix Coyotes,5,,17190,,
2007-11-24,Atlanta Thrashers,0,Pittsburgh Penguins,5,,17132,,
2007-11-24,Los Angeles Kings,2,San Jose Sharks,1,,17496,,
2007-11-24,New Jersey Devils,3,Tampa Bay Lightning,2,,19077,,
2007-11-24,Carolina Hurricanes,2,Washington Capitals,5,,13650,,
2007-11-25,Los Angeles Kings,2,Anaheim Ducks,3,,17174,,
2007-11-25,Dallas Stars,3,New York Rangers,2,,18200,,
2007-11-25,Calgary Flames,0,St. Louis Blues,3,,15138,,
2007-11-25,Chicago Blackhawks,0,Vancouver Canucks,2,,18630,,
2007-11-26,Columbus Blue Jackets,1,Edmonton Oilers,3,,16839,,
2007-11-26,Dallas Stars,3,New York Islanders,2,OT,8161,,
2007-11-26,Boston Bruins,6,Philadelphia Flyers,3,,19457,,
2007-11-26,Buffalo Sabres,3,Washington Capitals,1,,11204,,
2007-11-27,Calgary Flames,3,Detroit Red Wings,5,,17108,,
2007-11-27,Montreal Canadiens,4,Toronto Maple Leafs,3,SO,19608,,
2007-11-27,Anaheim Ducks,0,Vancouver Canucks,4,,18630,,
2007-11-28,St. Louis Blues,4,Buffalo Sabres,3,,18690,,
2007-11-28,Philadelphia Flyers,3,Carolina Hurricanes,1,,15108,,
2007-11-28,Tampa Bay Lightning,1,Chicago Blackhawks,5,,11122,,
2007-11-28,Edmonton Oilers,2,Colorado Avalanche,4,,15128,,
2007-11-28,Phoenix Coyotes,1,Minnesota Wild,3,,18568,,
2007-11-28,Dallas Stars,2,New Jersey Devils,4,,13665,,
2007-11-28,Ottawa Senators,2,New York Islanders,3,SO,9211,,
2007-11-28,Los Angeles Kings,3,San Jose Sharks,2,SO,17071,,
2007-11-28,Florida Panthers,2,Washington Capitals,1,SO,10526,,
2007-11-29,Toronto Maple Leafs,4,Atlanta Thrashers,2,,14031,,
2007-11-29,Anaheim Ducks,4,Calgary Flames,1,,19289,,
2007-11-29,Tampa Bay Lightning,2,Detroit Red Wings,4,,17001,,
2007-11-29,Boston Bruins,4,Florida Panthers,3,,14926,,
2007-11-29,New York Islanders,2,New York Rangers,4,,18200,,
2007-11-29,Nashville Predators,6,Ottawa Senators,5,,19538,,
2007-11-29,Columbus Blue Jackets,0,Vancouver Canucks,2,,18630,,
2007-11-30,Washington Capitals,3,Carolina Hurricanes,4,,16386,,
2007-11-30,Phoenix Coyotes,1,Chicago Blackhawks,6,,16234,,
2007-11-30,Anaheim Ducks,1,Edmonton Oilers,5,,16839,,
2007-11-30,St. Louis Blues,2,Minnesota Wild,3,OT,18568,,
